Time (s),I (mA); w = 100,I (mA); w = 225,I (mA); w = 400,I (mA); w = 625,I (mA); w = 900,I (mA); w = 1225,I (mA); w = 1600
4.687,-0.015,-0.015,-0.02,-0.024,-0.02,-0.024,-0.029
4.707,-0.005,-0.02,-0.029,-0.015,-0.029,-0.029,-0.024
4.727,-0.005,-0.024,-0.015,-0.024,-0.015,-0.02,-0.024
4.746,-0.01,-0.02,-0.02,-0.015,-0.024,-0.024,-0.02
4.766,-0.015,-0.02,-0.015,-0.029,-0.02,-0.02,-0.024
4.785,-0.015,-0.005,-0.024,-0.01,-0.024,-0.024,-0.02
4.805,-0.015,-0.015,-0.015,-0.024,-0.024,-0.024,-0.034
4.824,-0.01,-0.015,-0.024,-0.02,-0.029,-0.029,-0.02
4.844,-0.005,-0.024,-0.01,-0.024,-0.02,-0.024,-0.029
4.863,-0.015,-0.01,-0.02,-0.02,-0.02,-0.029,-0.015
4.883,-0.01,-0.02,-0.015,-0.02,-0.02,-0.02,-0.029
4.902,-0.015,-0.01,-0.02,-0.02,-0.015,-0.029,-0.024
4.922,-0.005,-0.02,-0.02,-0.02,-0.024,-0.024,-0.029
4.941,-0.005,-0.015,-0.024,-0.015,-0.024,-0.029,-0.01
4.961,-0.01,-0.024,-0.015,-0.02,-0.024,-0.015,-0.024
4.98,-0.015,-0.005,-0.02,-0.024,-0.015,-0.024,-0.015
5,-0.01,-0.015,-0.015,-0.02,-0.024,-0.01,-0.029
5.02,-0.015,-0.01,-0.015,-0.02,-0.024,-0.029,-0.024
5.039,-0.005,-0.015,-0.02,-0.02,-0.029,-0.024,-0.029
5.059,-0.015,-0.015,-0.02,-0.02,-0.024,-0.029,-0.02
5.078,-0.005,-0.02,-0.029,-0.024,-0.024,-0.015,-0.024
5.098,-0.02,-0.01,-0.015,-0.024,-0.015,-0.024,-0.02
5.117,-0.005,-0.015,-0.015,-0.024,-0.02,-0.02,-0.02
5.137,-0.015,-0.01,-0.02,-0.024,-0.02,-0.024,-0.024
5.156,0,-0.01,-0.024,-0.015,-0.034,-0.02,-0.024
5.176,-0.02,-0.015,-0.015,-0.02,-0.02,-0.029,-0.039
5.195,-0.01,-0.02,-0.02,-0.02,-0.024,-0.02,-0.024
5.215,-0.02,-0.034,-0.01,-0.034,-0.01,-0.02,-0.02
5.234,-0.005,-0.01,-0.015,-0.02,-0.029,-0.02,-0.029
5.254,-0.015,-0.015,-0.02,-0.024,-0.02,-0.015,-0.029
5.273,-0.005,-0.02,-0.029,-0.01,-0.024,-0.024,-0.02
5.293,-0.015,-0.02,-0.015,-0.024,-0.015,-0.024,-0.024
5.312,-0.01,-0.02,-0.02,-0.015,-0.024,-0.024,-0.02
5.332,-0.01,-0.015,-0.01,-0.029,-0.02,-0.02,-0.02
5.352,-0.005,-0.015,-0.02,-0.015,-0.029,-0.024,-0.029
5.371,-0.01,-0.015,-0.02,-0.024,-0.02,-0.029,-0.034
5.391,-0.01,-0.015,-0.029,-0.015,-0.024,-0.029,-0.024
5.41,-0.015,-0.02,-0.01,-0.02,-0.015,-0.029,-0.024
5.43,-0.01,-0.015,-0.02,-0.015,-0.029,-0.029,-0.015
5.449,-0.01,-0.02,-0.015,-0.024,-0.02,-0.015,-0.024
